00000;15
00006;18
00012;18
00018;81
00024;48
00030;37
00036;18
00042;35
00048;11
00054;118
00060;9
00001;110
00007;157
00013;90
00019;231
00025;42
00031;63
00037;98
00043;30
00049;12
00055;12
00061;282
00002;13
00008;27
00014;43
00020;42
00026;6
00032;316
00038;285
00044;48
00050;15
00056;95
00003;15
00009;18
00015;9
00021;43
00027;18
00033;12
00039;196
00045;74
00051;27
00057;78
00004;15
00010;21
00016;9
00022;375
00028;125
00034;46
00040;242
00046;44
00052;27
00058;15
00005;11
00011;7
00017;79
00023;15
00029;33
00035;60
00041;148
00047;147
00053;199
00059;42
